Age,Gender,Height_cm,Weight_kg,Know_BMI,Fitness_Goal,Activity_Level,Exercise_Frequency,Medical_Conditions,Tracking_Preference,Motivation,Willingness_to_Use_App,Importance_of_Sustainability,Empathy_Preference,Willingness_to_Pay,Useful_App_Features,Used_Fitness_App_Before,Stopped_App_Reason,Workout_Preference,Monthly_Income,Fitness_Persona,Would_Recommend_App,BMI
21,Non-binary,166,87,No,Weight loss,Medium,1–2,No,Manual logs,Appearance,2,4,Maybe,₹500–₹1000,"Challenges, Mental health tips, Diet tracker, Reminders",No,"Privacy concerns, Too expensive",Guided,<₹20k,Need better results,Yes,30.067377513484395
27,Male,173,49,Yes,Muscle gain,Medium,Daily,No,In-app tracking,Social influence,2,2,Yes,<₹200,"Diet tracker, Community features, Workout plans, Mental health tips",Yes,"Privacy concerns, Others, App was buggy",Guided,₹20k–₹50k,Start but can’t continue,Yes,16.091667553348316
20,Male,156,59,Yes,Maintain health,Medium,1–2,No,Wearable devices,Social influence,2,4,No,₹200–₹500,"Workout plans, Challenges, Diet tracker",No,Got bored,Guided,<₹20k,Consistent,Yes,23.704178615377227
43,Female,158,65,No,Weight loss,Low,Daily,No,Manual logs,Appearance,5,5,Maybe,₹500–₹1000,"Challenges, Reminders",Yes,"Others, Privacy concerns",Guided,₹50k–₹1L,Need motivation to start,Yes,26.416548468028907
18,Male,161,58,Yes,Improve flexibility,Medium,0,No,In-app tracking,Appearance,5,3,Yes,>₹1000,"Mental health tips, Community features, Reminders",Yes,"Didn’t see results, Privacy concerns, Got bored",Self-paced,₹50k–₹1L,Need motivation to start,Yes,21.773873333977434
26,Female,151,96,Yes,Muscle gain,Low,3–4,No,In-app tracking,Appearance,4,5,Maybe,₹200–₹500,"Diet tracker, Reminders, Mental health tips",Yes,"Got bored, Didn’t see results, Others",Guided,<₹20k,Start but can’t continue,Yes,44.94027485201688
31,Male,156,57,Yes,Weight loss,Medium,1–2,No,In-app tracking,Health,3,4,Yes,₹500–₹1000,"Diet tracker, Challenges",Yes,"Got bored, App was buggy",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,26.208134430158427
41,Female,160,61,No,Weight loss,Low,3–4,Yes,In-app tracking,Energy,3,4,Yes,<₹200,"Community features, Diet tracker",Yes,"Privacy concerns, Didn’t see results",Guided,₹1L–₹2L,Need better results,Yes,22.757101280705605
18,Male,173,73,Yes,Weight loss,Low,3–4,Yes,Not tracking,Energy,4,3,Maybe,₹500–₹1000,"Challenges, Community features",No,"App was buggy, Got bored, Too expensive",Guided,₹50k–₹1L,Need better results,Maybe,27.22632434836434
39,Female,167,51,Yes,Mental wellness,Low,3–4,No,Not tracking,Health,2,4,Yes,₹200–₹500,"Workout plans, Mental health tips, Challenges, Reminders",No,"App was buggy, Privacy concerns, Got bored",Self-paced,₹50k–₹1L,Consistent,Maybe,15.127119582568177
30,Female,166,64,No,Weight loss,Medium,3–4,No,In-app tracking,Social influence,3,3,No,<₹200,"Challenges, Diet tracker, Community features",Yes,"Others, Privacy concerns",Self-paced,₹50k–₹1L,Need motivation to start,Yes,21.741163902925003
22,Female,173,74,Yes,Weight loss,Medium,5–6,No,In-app tracking,Health,3,2,Yes,₹200–₹500,"Challenges, Mental health tips, Workout plans",Yes,"App was buggy, Privacy concerns, Others",Guided,₹50k–₹1L,Start but can’t continue,Maybe,26.11002062008563
33,Male,163,65,Yes,Muscle gain,Low,3–4,No,Wearable devices,Appearance,2,3,Maybe,<₹200,"Workout plans, Challenges, Reminders",Yes,Got bored,Mix of both,₹50k–₹1L,Consistent,Yes,24.7795533968518
31,Female,168,68,No,Weight loss,Medium,5–6,No,Not tracking,Health,1,3,Yes,₹200–₹500,"Challenges, Diet tracker, Workout plans",Yes,"App was buggy, Got bored, Too expensive",Guided,₹1L–₹2L,Need motivation to start,Yes,24.522154607476907
25,Female,163,62,Yes,Weight loss,Low,1–2,No,Wearable devices,Energy,1,5,Yes,<₹200,"Mental health tips, Challenges, Workout plans",No,Got bored,Self-paced,₹20k–₹50k,Consistent,Yes,24.23202822215975
30,Male,167,47,No,Weight loss,Medium,3–4,No,Wearable devices,Health,4,4,Yes,₹200–₹500,"Reminders, Workout plans, Community features, Challenges",Yes,Privacy concerns,Self-paced,<₹20k,Need motivation to start,Maybe,16.025719770564734
26,Male,159,74,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Health,5,2,Maybe,>₹1000,"Challenges, Workout plans",No,"Others, Privacy concerns, Got bored",Mix of both,₹20k–₹50k,Consistent,Yes,31.91830209979082
30,Male,140,96,Yes,Maintain health,Medium,1–2,No,Manual logs,Appearance,3,1,Maybe,₹0,"Mental health tips, Diet tracker, Community features, Workout plans",Yes,"App was buggy, Got bored, Too expensive",Self-paced,₹1L–₹2L,Need better results,Yes,45.0
35,Female,163,70,Yes,Muscle gain,Medium,3–4,No,Not tracking,Social influence,3,3,Maybe,₹200–₹500,"Reminders, Community features, Challenges, Mental health tips",Yes,"Others, App was buggy",Self-paced,<₹20k,Start but can’t continue,Maybe,26.28685420696519
42,Female,179,73,Yes,Muscle gain,Low,1–2,No,In-app tracking,Others,4,1,Yes,₹200–₹500,"Community features, Workout plans, Challenges, Reminders",Yes,Got bored,Self-paced,₹50k–₹1L,Need better results,Yes,24.78339971631505
20,Female,174,80,Yes,Others,Medium,1–2,No,In-app tracking,Health,4,4,Yes,>₹1000,"Diet tracker, Mental health tips",Yes,"Others, Got bored, Didn’t see results",Self-paced,₹50k–₹1L,Consistent,Maybe,27.483869155350742
47,Male,174,50,No,Muscle gain,Medium,1–2,No,In-app tracking,Health,3,3,Yes,₹200–₹500,"Community features, Workout plans",Yes,Others,Mix of both,₹50k–₹1L,Consistent,Yes,16.178326713795375
14,Male,177,95,Yes,Weight loss,Medium,1–2,No,In-app tracking,Energy,2,1,No,₹200–₹500,"Reminders, Challenges, Mental health tips",Yes,"Got bored, Privacy concerns",Guided,₹20k–₹50k,Start but can’t continue,Maybe,29.90144930467203
28,Female,165,73,Yes,Weight loss,Medium,3–4,No,Manual logs,Mental health,2,5,Yes,₹200–₹500,"Reminders, Community features, Diet tracker, Workout plans",Yes,Privacy concerns,Mix of both,₹20k–₹50k,Start but can’t continue,No,24.664645209800977
34,Female,166,94,Yes,Muscle gain,Low,3–4,Yes,In-app tracking,Health,5,1,Maybe,<₹200,"Challenges, Workout plans, Mental health tips",Yes,"Too expensive, Others, Got bored",Guided,<₹20k,Need better results,Maybe,33.03779865281228
32,Prefer not to say,158,59,No,Improve flexibility,Medium,Daily,No,In-app tracking,Social influence,3,5,Maybe,₹0,"Community features, Workout plans",Yes,"Too expensive, Didn’t see results, Others",Mix of both,₹20k–₹50k,Consistent,Maybe,23.412883640837066
25,Male,161,97,Yes,Weight loss,Medium,5–6,No,Wearable devices,Energy,3,2,Yes,₹200–₹500,"Reminders, Diet tracker",Yes,Privacy concerns,Self-paced,<₹20k,Consistent,Maybe,37.73890369268666
28,Female,171,81,Yes,Maintain health,Low,0,No,In-app tracking,Health,3,4,Yes,₹0,"Challenges, Workout plans",No,"App was buggy, Didn’t see results",Mix of both,₹50k–₹1L,Consistent,Yes,26.029063906845053
26,Male,177,78,Yes,Weight loss,Low,5–6,No,Wearable devices,Energy,3,1,Maybe,₹200–₹500,"Reminders, Workout plans",No,Too expensive,Self-paced,₹1L–₹2L,Need motivation to start,Maybe,25.127668712730486
25,Male,163,73,Yes,Muscle gain,Low,5–6,No,Wearable devices,Others,4,3,Yes,₹200–₹500,"Challenges, Community features, Mental health tips, Diet tracker",Yes,"App was buggy, Didn’t see results, Others",Guided,₹50k–₹1L,Need better results,Maybe,26.541230463270573
36,Female,160,66,Yes,Improve flexibility,High,3–4,Yes,Manual logs,Mental health,1,4,Yes,₹200–₹500,"Reminders, Mental health tips, Community features",Yes,"Privacy concerns, App was buggy",Guided,₹50k–₹1L,Need motivation to start,Yes,24.50483418705234
32,Female,165,88,No,Weight loss,Medium,3–4,No,Wearable devices,Appearance,3,1,Yes,<₹200,"Workout plans, Mental health tips",Yes,App was buggy,Mix of both,₹50k–₹1L,Need better results,Maybe,33.509001984286876
24,Prefer not to say,171,72,Yes,Maintain health,Low,Daily,No,In-app tracking,Health,1,3,No,>₹1000,"Challenges, Diet tracker, Reminders",No,Too expensive,Self-paced,₹20k–₹50k,Start but can’t continue,Yes,25.11735225879692
37,Male,150,40,Yes,Weight loss,Low,3–4,No,In-app tracking,Health,2,3,Maybe,₹500–₹1000,"Reminders, Community features",Yes,"Got bored, Too expensive",Self-paced,<₹20k,Start but can’t continue,Yes,17.658666177258667
32,Male,142,53,Yes,Maintain health,Medium,Daily,No,Wearable devices,Health,5,3,Yes,<₹200,"Mental health tips, Diet tracker, Workout plans",Yes,Got bored,Guided,₹20k–₹50k,Start but can’t continue,Yes,27.454899298511023
36,Female,159,67,No,Weight loss,High,0,No,In-app tracking,Mental health,2,3,Yes,₹200–₹500,"Challenges, Mental health tips, Community features",Yes,"Got bored, App was buggy",Mix of both,₹50k–₹1L,Need better results,No,24.08527454853299
35,Female,152,74,Yes,Mental wellness,Low,1–2,Yes,In-app tracking,Social influence,3,1,Yes,₹200–₹500,"Challenges, Reminders",No,"Too expensive, Got bored",Guided,>₹2L,Need better results,Yes,29.77417586379483
23,Male,159,69,Yes,Weight loss,Low,3–4,No,Wearable devices,Mental health,2,2,Maybe,₹0,"Workout plans, Community features",Yes,"Didn’t see results, App was buggy",Guided,₹50k–₹1L,Need better results,Yes,26.632814498282105
25,Male,163,88,Yes,Mental wellness,High,3–4,No,Manual logs,Others,4,5,Yes,₹200–₹500,"Community features, Mental health tips, Reminders",Yes,"App was buggy, Others",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,32.91459375666671
35,Male,160,40,Yes,Muscle gain,Low,5–6,No,Not tracking,Health,1,5,Yes,<₹200,"Reminders, Challenges, Mental health tips, Community features",Yes,App was buggy,Mix of both,₹50k–₹1L,Need motivation to start,No,17.153600537927858
34,Female,179,72,Yes,Maintain health,Low,Daily,No,In-app tracking,Social influence,3,5,Maybe,>₹1000,"Reminders, Challenges",Yes,Others,Guided,₹50k–₹1L,Consistent,Maybe,21.21573147629393
29,Male,168,42,Yes,Weight loss,High,1–2,No,Not tracking,Mental health,4,2,Maybe,₹500–₹1000,"Diet tracker, Community features",No,"App was buggy, Others, Didn’t see results",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,15.0
30,Male,168,81,Yes,Mental wellness,Medium,0,No,Wearable devices,Health,1,3,Maybe,₹200–₹500,"Community features, Reminders, Workout plans, Diet tracker",Yes,"Others, App was buggy",Guided,₹50k–₹1L,Consistent,No,30.8768916307623
40,Male,171,68,Yes,Weight loss,Low,5–6,Yes,In-app tracking,Mental health,4,3,Maybe,₹200–₹500,"Mental health tips, Challenges, Reminders, Workout plans",No,"Privacy concerns, Too expensive, App was buggy",Guided,₹50k–₹1L,Consistent,Yes,21.08854011580204
25,Male,153,76,Yes,Weight loss,Low,3–4,No,Wearable devices,Appearance,2,4,Yes,>₹1000,"Diet tracker, Community features",Yes,"Others, Didn’t see results, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,34.49783523356216
34,Male,175,57,Yes,Muscle gain,Low,1–2,Yes,Wearable devices,Mental health,3,5,Yes,>₹1000,"Workout plans, Challenges",Yes,Didn’t see results,Mix of both,₹50k–₹1L,Consistent,Yes,18.629621156302456
43,Female,164,89,Yes,Weight loss,Low,3–4,No,In-app tracking,Energy,2,5,Yes,>₹1000,"Community features, Mental health tips",No,Didn’t see results,Guided,>₹2L,Need better results,Yes,31.53409689827196
28,Male,171,85,No,Weight loss,High,5–6,No,Wearable devices,Health,5,3,Yes,<₹200,"Workout plans, Community features",Yes,App was buggy,Guided,₹50k–₹1L,Need better results,Maybe,26.87662827958431
38,Female,154,78,No,Mental wellness,Medium,5–6,No,Manual logs,Mental health,3,5,Maybe,<₹200,"Community features, Challenges, Reminders",Yes,Got bored,Guided,₹50k–₹1L,Consistent,No,32.515561100241015
36,Male,149,68,No,Others,Medium,3–4,No,Wearable devices,Energy,2,3,Maybe,₹200–₹500,"Challenges, Mental health tips, Workout plans",Yes,"App was buggy, Privacy concerns, Got bored",Mix of both,₹50k–₹1L,Consistent,Yes,31.934506446708287
36,Female,173,78,No,Muscle gain,High,1–2,No,Manual logs,Appearance,3,3,Maybe,₹200–₹500,"Mental health tips, Workout plans, Reminders",No,"Privacy concerns, Too expensive",Mix of both,₹1L–₹2L,Start but can’t continue,Yes,26.03424055720435
40,Female,168,59,No,Mental wellness,Medium,Daily,No,In-app tracking,Appearance,1,3,Yes,₹0,"Workout plans, Mental health tips",Yes,"Didn’t see results, Others, Got bored",Guided,₹50k–₹1L,Need motivation to start,Maybe,22.73880600080469
30,Female,155,82,No,Muscle gain,Low,3–4,No,In-app tracking,Health,3,1,Maybe,₹0,"Diet tracker, Workout plans, Mental health tips",No,"Too expensive, Didn’t see results, App was buggy",Mix of both,₹50k–₹1L,Need motivation to start,Yes,35.90828219965879
35,Female,156,94,Yes,Weight loss,Medium,3–4,No,Manual logs,Energy,3,1,Maybe,₹500–₹1000,"Workout plans, Reminders",Yes,Privacy concerns,Guided,₹20k–₹50k,Need motivation to start,Yes,40.23663621376087
27,Male,176,86,No,Maintain health,High,1–2,No,Manual logs,Social influence,1,1,Yes,₹500–₹1000,"Diet tracker, Community features",No,"Privacy concerns, Too expensive",Mix of both,₹1L–₹2L,Need motivation to start,Maybe,29.459210740971287
32,Male,153,59,Yes,Maintain health,High,5–6,No,Manual logs,Social influence,2,1,Maybe,₹200–₹500,"Challenges, Workout plans, Mental health tips",Yes,"Others, App was buggy, Got bored",Guided,₹50k–₹1L,Need motivation to start,Maybe,24.13703788430693
28,Female,181,75,Yes,Others,Low,1–2,No,In-app tracking,Energy,3,2,Yes,₹500–₹1000,"Mental health tips, Challenges",Yes,Privacy concerns,Self-paced,₹50k–₹1L,Need better results,Yes,24.455656873048454
30,Prefer not to say,155,50,No,Weight loss,Medium,1–2,No,Manual logs,Mental health,4,4,Yes,₹200–₹500,"Diet tracker, Reminders, Workout plans",Yes,Too expensive,Guided,₹1L–₹2L,Consistent,Yes,25.073817088357394
34,Female,171,78,Yes,Maintain health,Medium,3–4,No,In-app tracking,Health,3,4,No,₹500–₹1000,"Challenges, Mental health tips, Diet tracker",No,"App was buggy, Got bored",Mix of both,₹1L–₹2L,Start but can’t continue,Yes,28.629568237265495
23,Female,161,76,Yes,Weight loss,High,1–2,No,Manual logs,Mental health,2,3,No,₹200–₹500,"Reminders, Community features, Mental health tips",No,"Didn’t see results, Privacy concerns, Got bored",Guided,₹1L–₹2L,Start but can’t continue,Yes,28.544435327515004
46,Female,171,41,No,Weight loss,Low,3–4,No,Wearable devices,Appearance,1,5,Yes,<₹200,"Challenges, Diet tracker, Workout plans",Yes,"Others, Didn’t see results",Self-paced,<₹20k,Start but can’t continue,No,15.0
21,Female,159,52,Yes,Weight loss,Medium,1–2,No,Not tracking,Health,2,1,Yes,₹200–₹500,"Challenges, Diet tracker, Mental health tips",Yes,"Didn’t see results, App was buggy",Mix of both,₹50k–₹1L,Need motivation to start,Yes,20.796648101392698
20,Male,163,65,Yes,Others,High,3–4,No,In-app tracking,Energy,5,4,Maybe,₹200–₹500,"Mental health tips, Diet tracker, Reminders, Challenges",Yes,"Didn’t see results, Privacy concerns",Self-paced,₹20k–₹50k,Start but can’t continue,Maybe,26.006076598877314
39,Female,165,65,No,Improve flexibility,Medium,1–2,No,Manual logs,Appearance,3,4,No,₹200–₹500,"Workout plans, Reminders, Challenges, Diet tracker",Yes,"Others, App was buggy, Didn’t see results",Guided,₹20k–₹50k,Need better results,Yes,24.232436449664846
36,Prefer not to say,154,51,No,Improve flexibility,Medium,0,No,In-app tracking,Mental health,3,1,Maybe,<₹200,"Workout plans, Diet tracker, Mental health tips, Reminders",Yes,Too expensive,Self-paced,₹1L–₹2L,Consistent,Yes,19.290083646006988
34,Male,172,75,Yes,Muscle gain,Low,1–2,No,In-app tracking,Social influence,1,2,Yes,>₹1000,"Challenges, Mental health tips, Workout plans, Community features",Yes,"Too expensive, Others",Mix of both,₹1L–₹2L,Consistent,Yes,26.867555047382464
35,Female,159,73,Yes,Weight loss,Low,Daily,No,In-app tracking,Health,3,2,Yes,<₹200,"Workout plans, Reminders, Diet tracker, Mental health tips",Yes,"Got bored, Didn’t see results",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,30.751862250315483
29,Male,162,67,Yes,Weight loss,Low,5–6,No,In-app tracking,Health,4,4,Yes,<₹200,"Workout plans, Diet tracker, Community features",Yes,"Didn’t see results, App was buggy, Too expensive",Guided,₹20k–₹50k,Start but can’t continue,Yes,23.77409313480483
22,Female,155,58,No,Weight loss,High,1–2,No,In-app tracking,Social influence,4,2,Yes,₹200–₹500,"Reminders, Community features",No,"Others, Didn’t see results, Too expensive",Self-paced,<₹20k,Start but can’t continue,Maybe,26.0631675979587
30,Male,139,85,Yes,Muscle gain,Low,5–6,No,Not tracking,Mental health,2,1,Yes,₹200–₹500,"Workout plans, Diet tracker",Yes,Others,Mix of both,₹50k–₹1L,Consistent,Maybe,44.23649633449593
24,Female,163,94,Yes,Improve flexibility,Medium,3–4,No,Wearable devices,Health,1,4,Yes,₹200–₹500,"Reminders, Mental health tips, Community features",Yes,Didn’t see results,Guided,<₹20k,Consistent,Maybe,36.35433866596814
37,Female,189,62,Yes,Muscle gain,Medium,Daily,No,In-app tracking,Health,5,1,No,₹500–₹1000,"Diet tracker, Challenges",Yes,"Others, App was buggy",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,18.365541416140108
28,Male,172,60,Yes,Weight loss,Low,1–2,No,In-app tracking,Mental health,2,2,Yes,₹200–₹500,"Mental health tips, Workout plans",Yes,"App was buggy, Too expensive",Mix of both,₹50k–₹1L,Need better results,Maybe,20.85734571014527
23,Female,164,77,No,Weight loss,Medium,3–4,No,Manual logs,Energy,1,1,Maybe,₹200–₹500,"Diet tracker, Workout plans, Reminders, Challenges",Yes,"Got bored, Too expensive, Didn’t see results",Guided,₹1L–₹2L,Start but can’t continue,No,27.83052438634417
27,Female,162,64,Yes,Weight loss,Medium,0,No,Manual logs,Appearance,1,2,Yes,₹500–₹1000,"Workout plans, Diet tracker, Community features, Mental health tips",Yes,"Too expensive, App was buggy",Self-paced,₹20k–₹50k,Consistent,Yes,25.38650702550265
33,Non-binary,165,67,No,Muscle gain,High,1–2,No,Manual logs,Health,2,2,Yes,₹0,"Community features, Workout plans, Challenges, Mental health tips",Yes,"Got bored, Too expensive, Privacy concerns",Mix of both,₹20k–₹50k,Consistent,Maybe,24.70187064268455
25,Male,170,81,Yes,Mental wellness,Medium,Daily,No,In-app tracking,Social influence,2,1,Yes,₹200–₹500,"Reminders, Diet tracker",Yes,"Didn’t see results, App was buggy",Guided,₹1L–₹2L,Start but can’t continue,Yes,28.686676018786006
23,Male,153,41,No,Maintain health,Medium,3–4,No,In-app tracking,Mental health,3,2,Yes,₹500–₹1000,"Workout plans, Community features, Mental health tips, Challenges",No,"App was buggy, Got bored, Others",Mix of both,₹50k–₹1L,Consistent,Yes,16.968971365930212
31,Male,176,89,No,Improve flexibility,Low,1–2,No,In-app tracking,Others,5,3,Yes,₹0,"Community features, Reminders, Diet tracker",Yes,"Privacy concerns, Got bored",Mix of both,<₹20k,Need motivation to start,Maybe,29.52218240725258
31,Prefer not to say,172,71,Yes,Muscle gain,High,1–2,No,Manual logs,Mental health,4,1,Maybe,₹200–₹500,"Workout plans, Challenges",Yes,"App was buggy, Got bored",Guided,₹20k–₹50k,Start but can’t continue,Maybe,23.9985157562875
25,Non-binary,172,63,Yes,Muscle gain,Low,5–6,Yes,In-app tracking,Social influence,3,3,Maybe,>₹1000,"Reminders, Diet tracker",No,"Didn’t see results, Others",Guided,₹1L–₹2L,Start but can’t continue,Yes,19.290787468687988
54,Female,169,68,Yes,Weight loss,Medium,3–4,No,Not tracking,Appearance,1,1,Yes,₹200–₹500,"Reminders, Community features, Mental health tips, Challenges",Yes,Didn’t see results,Mix of both,₹50k–₹1L,Need motivation to start,Yes,24.882523822955182
31,Female,165,69,No,Mental wellness,Low,1–2,No,Wearable devices,Mental health,5,2,Yes,₹200–₹500,"Community features, Challenges, Mental health tips",Yes,"Didn’t see results, Got bored",Mix of both,₹1L–₹2L,Need motivation to start,Yes,27.505047080531664
18,Female,171,44,Yes,Improve flexibility,High,Daily,No,In-app tracking,Appearance,5,2,No,>₹1000,"Challenges, Reminders, Community features, Mental health tips",Yes,"Privacy concerns, Too expensive",Guided,₹20k–₹50k,Consistent,Yes,15.86871523948148
18,Female,170,92,No,Weight loss,Medium,0,No,In-app tracking,Mental health,2,4,Maybe,<₹200,"Reminders, Community features, Diet tracker, Workout plans",Yes,Privacy concerns,Guided,₹50k–₹1L,Need motivation to start,Yes,31.492832233764315
24,Male,161,70,No,Muscle gain,Medium,1–2,No,In-app tracking,Health,5,4,Yes,₹0,"Workout plans, Diet tracker",Yes,Didn’t see results,Mix of both,₹50k–₹1L,Need motivation to start,Maybe,27.82198139031909
28,Female,159,76,No,Muscle gain,Low,Daily,No,In-app tracking,Health,5,3,No,₹500–₹1000,"Reminders, Challenges",Yes,"App was buggy, Too expensive",Self-paced,₹20k–₹50k,Consistent,Yes,28.742363658345703
32,Male,166,84,No,Maintain health,Medium,1–2,No,Not tracking,Social influence,1,2,Maybe,₹500–₹1000,"Mental health tips, Community features, Reminders, Diet tracker",No,"Too expensive, Got bored, Privacy concerns",Self-paced,>₹2L,Need better results,Yes,32.08895927220572
41,Female,180,54,Yes,Mental wellness,Medium,1–2,No,Wearable devices,Social influence,3,4,Maybe,₹200–₹500,"Challenges, Reminders",Yes,"Got bored, Privacy concerns",Mix of both,₹50k–₹1L,Consistent,Maybe,18.454833980443816
36,Female,152,77,Yes,Maintain health,Medium,3–4,No,Not tracking,Appearance,5,2,Maybe,₹200–₹500,"Workout plans, Diet tracker",Yes,"App was buggy, Didn’t see results, Too expensive",Self-paced,₹1L–₹2L,Need better results,Yes,33.27733623220362
28,Female,150,65,Yes,Muscle gain,Low,5–6,No,Wearable devices,Energy,2,1,Maybe,₹500–₹1000,"Reminders, Community features",Yes,"Too expensive, Privacy concerns",Mix of both,₹1L–₹2L,Consistent,Maybe,29.159561708267557
29,Male,166,82,No,Weight loss,High,1–2,Yes,Wearable devices,Health,3,4,Maybe,₹500–₹1000,"Workout plans, Diet tracker, Community features, Challenges",Yes,"Too expensive, Got bored, Didn’t see results",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,27.75744786017649
21,Male,165,38,No,Weight loss,High,Daily,No,Manual logs,Health,2,3,Yes,<₹200,"Reminders, Diet tracker",Yes,"Didn’t see results, Too expensive",Guided,₹50k–₹1L,Consistent,Maybe,15.147306570583972
29,Male,166,68,No,Weight loss,Low,5–6,Yes,In-app tracking,Social influence,5,4,No,₹0,"Community features, Challenges, Reminders, Mental health tips",No,Others,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,24.252353140074426
27,Male,167,60,Yes,Weight loss,High,1–2,Yes,Wearable devices,Health,3,2,Maybe,₹200–₹500,"Community features, Workout plans",No,"Didn’t see results, Got bored, Too expensive",Self-paced,₹50k–₹1L,Need motivation to start,Yes,16.467288658113794
32,Male,162,76,Yes,Maintain health,Medium,5–6,No,Wearable devices,Social influence,5,5,No,₹500–₹1000,"Reminders, Workout plans, Diet tracker",Yes,"Others, App was buggy",Guided,₹50k–₹1L,Start but can’t continue,Yes,48.22111807777769
23,Non-binary,179,77,No,Maintain health,Medium,1–2,No,Wearable devices,Appearance,1,5,Maybe,₹500–₹1000,"Workout plans, Mental health tips",Yes,"Others, Privacy concerns",Guided,₹50k–₹1L,Start but can’t continue,No,23.8479659125362
34,Female,148,59,Yes,Weight loss,Low,3–4,No,Not tracking,Mental health,3,2,Yes,>₹1000,"Reminders, Challenges, Mental health tips, Workout plans",No,Others,Self-paced,<₹20k,Consistent,Yes,24.952108794205827
42,Male,156,59,Yes,Improve flexibility,Medium,5–6,No,In-app tracking,Mental health,2,1,Yes,₹500–₹1000,"Challenges, Community features",Yes,"Too expensive, Privacy concerns, Others",Mix of both,₹50k–₹1L,Consistent,Yes,26.227121885104903
29,Male,163,68,No,Weight loss,Medium,Daily,No,In-app tracking,Health,1,4,Yes,₹200–₹500,"Challenges, Reminders, Community features, Diet tracker",Yes,"App was buggy, Too expensive, Privacy concerns",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,24.76724645505076
33,Male,148,56,Yes,Weight loss,Medium,1–2,No,In-app tracking,Health,4,5,Yes,₹200–₹500,"Challenges, Reminders, Workout plans, Diet tracker",Yes,"Didn’t see results, Got bored, Others",Mix of both,₹20k–₹50k,Need better results,Yes,24.14385956096362
35,Female,163,82,Yes,Weight loss,Medium,3–4,No,In-app tracking,Social influence,2,1,Yes,₹500–₹1000,"Mental health tips, Workout plans",No,App was buggy,Guided,₹1L–₹2L,Consistent,Maybe,33.10916340270471
26,Female,181,64,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Mental health,5,2,Maybe,₹500–₹1000,"Reminders, Workout plans, Diet tracker, Challenges",Yes,"App was buggy, Didn’t see results, Got bored",Mix of both,<₹20k,Start but can’t continue,Maybe,20.381726962588647
31,Non-binary,165,26,Yes,Weight loss,Medium,1–2,No,Not tracking,Health,2,1,Yes,₹200–₹500,"Community features, Mental health tips",No,"Got bored, Didn’t see results, App was buggy",Guided,₹20k–₹50k,Need better results,Maybe,15.0
30,Female,167,64,No,Muscle gain,Low,1–2,No,Manual logs,Energy,4,2,Maybe,₹0,"Community features, Workout plans, Challenges",Yes,"Privacy concerns, App was buggy",Guided,₹20k–₹50k,Need motivation to start,Maybe,22.963384022994546
30,Prefer not to say,152,54,Yes,Muscle gain,High,0,No,Wearable devices,Appearance,2,4,No,>₹1000,"Community features, Mental health tips, Challenges, Diet tracker",Yes,"Others, Didn’t see results",Guided,₹50k–₹1L,Consistent,Yes,21.843911439524184
23,Female,158,45,Yes,Others,Medium,3–4,Yes,Wearable devices,Appearance,1,1,Yes,₹200–₹500,"Community features, Challenges, Mental health tips, Diet tracker",Yes,Privacy concerns,Self-paced,₹20k–₹50k,Start but can’t continue,No,15.551314326265473
30,Male,161,51,Yes,Weight loss,Low,3–4,No,In-app tracking,Health,2,4,Yes,₹200–₹500,"Challenges, Diet tracker, Reminders, Mental health tips",Yes,"Didn’t see results, Too expensive, App was buggy",Guided,₹50k–₹1L,Consistent,No,17.054956419959446
33,Non-binary,161,71,No,Weight loss,Low,1–2,No,In-app tracking,Appearance,3,1,No,₹200–₹500,"Reminders, Challenges, Community features, Workout plans",No,"Too expensive, Privacy concerns",Self-paced,₹50k–₹1L,Need better results,Yes,28.798837665634895
41,Male,177,89,Yes,Weight loss,Medium,5–6,No,In-app tracking,Social influence,4,2,Maybe,₹200–₹500,"Reminders, Challenges, Community features",Yes,Too expensive,Guided,₹20k–₹50k,Consistent,Yes,26.860101409836872
37,Female,170,74,Yes,Maintain health,High,5–6,No,Manual logs,Mental health,2,2,Maybe,<₹200,"Challenges, Community features, Diet tracker",Yes,"App was buggy, Got bored, Others",Self-paced,₹50k–₹1L,Need motivation to start,Yes,23.67894862146435
47,Male,153,60,Yes,Weight loss,Low,3–4,Yes,In-app tracking,Social influence,4,1,Maybe,₹500–₹1000,"Challenges, Diet tracker",Yes,Got bored,Mix of both,₹20k–₹50k,Need motivation to start,Yes,25.219050343554553
23,Female,167,76,Yes,Improve flexibility,Medium,1–2,Yes,Wearable devices,Mental health,1,2,Maybe,<₹200,"Challenges, Diet tracker, Reminders, Workout plans",Yes,"App was buggy, Got bored, Others",Mix of both,₹50k–₹1L,Start but can’t continue,Maybe,32.425144685331006
